Date,Open,High,Low,Close,Volume,Open_weekly,High_weekly,Low_weekly,Close_weekly,Volume_weekly
2007-01-02,1438.890015,1439.709961,1430.060059,1435.26001,147700,,,,,
2007-01-03,1436.420044,1437.790039,1409.310059,1409.349976,203200,,,,,
2007-01-04,1410.550049,1411.119995,1388.5,1397.290039,241200,,,,,
2007-01-05,1398.599976,1400.589966,1372.359985,1385.76001,277300,,,,,
2007-01-08,1376.76001,1384.650024,1366.47998,1370.810059,177600,1438.890015,1439.709961,1372.359985,1385.76001,869400.0
2007-01-09,1376.709961,1381.98999,1367.73999,1374.339966,216800,1438.890015,1439.709961,1372.359985,1385.76001,869400.0
2007-01-10,1372.52002,1372.52002,1345.079956,1355.790039,225500,1438.890015,1439.709961,1372.359985,1385.76001,869400.0
2007-01-11,1357.569946,1375.310059,1355.630005,1365.310059,211800,1438.890015,1439.709961,1372.359985,1385.76001,869400.0
2007-01-12,1379.0,1389.0,1372.869995,1388.369995,213800,1438.890015,1439.709961,1372.359985,1385.76001,869400.0
2007-01-15,1396.869995,1397.640015,1385.810059,1390.959961,163900,1376.76001,1389.0,1345.079956,1388.369995,1045500.0
2007-01-16,1392.0,1393.420044,1385.199951,1389.709961,171300,1376.76001,1389.0,1345.079956,1388.369995,1045500.0
2007-01-17,1391.75,1391.75,1369.079956,1379.47998,205400,1376.76001,1389.0,1345.079956,1388.369995,1045500.0
2007-01-18,1378.369995,1385.219971,1372.930054,1383.209961,181200,1376.76001,1389.0,1345.079956,1388.369995,1045500.0
2007-01-19,1369.089966,1372.630005,1356.219971,1360.560059,222700,1376.76001,1389.0,1345.079956,1388.369995,1045500.0
2007-01-22,1363.839966,1364.670044,1348.459961,1363.410034,191000,1396.869995,1397.640015,1356.219971,1360.560059,944500.0
2007-01-23,1353.060059,1367.030029,1352.5,1363.089966,184000,1396.869995,1397.640015,1356.219971,1360.560059,944500.0
2007-01-24,1369.959961,1383.75,1369.02002,1383.060059,197900,1396.869995,1397.640015,1356.219971,1360.560059,944500.0
2007-01-25,1392.550049,1392.550049,1379.660034,1382.359985,157000,1396.869995,1397.640015,1356.219971,1360.560059,944500.0
2007-01-26,1372.359985,1378.47998,1366.099976,1371.329956,160900,1396.869995,1397.640015,1356.219971,1360.560059,944500.0
2007-01-29,1376.47998,1378.280029,1361.22998,1363.099976,136300,1363.839966,1392.550049,1348.459961,1371.329956,890800.0
2007-01-30,1365.0,1371.589966,1360.420044,1370.719971,161300,1363.839966,1392.550049,1348.459961,1371.329956,890800.0
2007-01-31,1374.76001,1374.76001,1357.869995,1360.22998,192300,1363.839966,1392.550049,1348.459961,1371.329956,890800.0
2007-02-01,1367.069946,1382.900024,1362.040039,1382.900024,168200,1363.839966,1392.550049,1348.459961,1371.329956,890800.0
2007-02-02,1386.780029,1413.339966,1386.060059,1413.140015,219200,1363.839966,1392.550049,1348.459961,1371.329956,890800.0
2007-02-05,1413.77002,1420.420044,1409.709961,1417.949951,181600,1376.47998,1413.339966,1357.869995,1413.140015,877300.0
2007-02-06,1416.650024,1428.910034,1414.579956,1428.579956,188900,1376.47998,1413.339966,1357.869995,1413.140015,877300.0
2007-02-07,1430.849976,1431.25,1419.47998,1426.290039,193200,1376.47998,1413.339966,1357.869995,1413.140015,877300.0
2007-02-08,1424.98999,1431.01001,1416.050049,1423.579956,189000,1376.47998,1413.339966,1357.869995,1413.140015,877300.0
2007-02-09,1424.48999,1432.290039,1422.969971,1427.680054,227600,1376.47998,1413.339966,1357.869995,1413.140015,877300.0
2007-02-12,1416.839966,1416.839966,1403.75,1414.290039,209300,1413.77002,1432.290039,1409.709961,1427.680054,980300.0
2007-02-13,1412.719971,1424.660034,1410.810059,1418.439941,219300,1413.77002,1432.290039,1409.709961,1427.680054,980300.0
2007-02-14,1430.02002,1440.51001,1430.01001,1436.099976,214700,1413.77002,1432.290039,1409.709961,1427.680054,980300.0
2007-02-15,1450.550049,1450.839966,1441.790039,1443.630005,216100,1413.77002,1432.290039,1409.709961,1427.680054,980300.0
2007-02-16,1444.459961,1448.959961,1439.030029,1448.810059,207200,1413.77002,1432.290039,1409.709961,1427.680054,980300.0
2007-02-20,1450.959961,1453.25,1443.969971,1452.959961,220500,1416.839966,1450.839966,1403.75,1448.810059,1066600.0
2007-02-21,1455.180054,1457.369995,1444.839966,1451.380005,258200,1416.839966,1450.839966,1403.75,1448.810059,1066600.0
2007-02-22,1452.709961,1471.040039,1452.619995,1465.410034,310300,1416.839966,1450.839966,1403.75,1448.810059,1066600.0
2007-02-23,1470.439941,1471.040039,1459.810059,1469.880005,310600,1416.839966,1450.839966,1403.75,1448.810059,1066600.0
2007-02-26,1466.920044,1470.949951,1462.189941,1470.030029,261800,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-02-27,1468.280029,1468.280029,1453.849976,1454.599976,261600,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-02-28,1396.439941,1417.339966,1393.959961,1417.339966,324100,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-03-05,1400.800049,1404.22998,1375.839966,1376.150024,232600,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-03-06,1382.699951,1403.75,1382.699951,1402.930054,239200,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-03-07,1415.349976,1415.5,1397.829956,1410.949951,254200,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-03-08,1409.02002,1433.150024,1408.339966,1423.890015,285800,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-03-09,1433.27002,1434.699951,1415.709961,1423.579956,227400,1450.959961,1471.040039,1443.969971,1469.880005,1099600.0
2007-03-12,1429.680054,1441.829956,1429.680054,1441.329956,245100,1400.800049,1434.699951,1375.839966,1423.579956,1239200.0
2007-03-13,1441.599976,1442.040039,1433.670044,1436.050049,256400,1400.800049,1434.699951,1375.839966,1423.579956,1239200.0
2007-03-14,1409.660034,1416.800049,1405.130005,1407.369995,259300,1400.800049,1434.699951,1375.839966,1423.579956,1239200.0
2007-03-15,1418.77002,1429.380005,1414.97998,1426.930054,254400,1400.800049,1434.699951,1375.839966,1423.579956,1239200.0
2007-03-16,1428.630005,1431.75,1416.300049,1427.880005,304100,1400.800049,1434.699951,1375.839966,1423.579956,1239200.0
2007-03-19,1425.219971,1444.76001,1420.890015,1443.390015,280800,1429.680054,1442.040039,1405.130005,1427.880005,1319300.0
2007-03-20,1449.430054,1449.790039,1440.420044,1444.170044,364500,1429.680054,1442.040039,1405.130005,1427.880005,1319300.0
2007-03-21,1446.069946,1452.050049,1435.359985,1442.849976,343000,1429.680054,1442.040039,1405.130005,1427.880005,1319300.0
2007-03-22,1452.130005,1456.180054,1447.790039,1448.530029,301000,1429.680054,1442.040039,1405.130005,1427.880005,1319300.0
2007-03-23,1449.98999,1454.339966,1443.040039,1447.380005,278900,1429.680054,1442.040039,1405.130005,1427.880005,1319300.0
2007-03-26,1451.119995,1455.51001,1444.25,1449.77002,312600,1425.219971,1456.180054,1420.890015,1447.380005,1568200.0
2007-03-27,1450.02002,1456.390015,1442.48999,1453.22998,259900,1425.219971,1456.180054,1420.890015,1447.380005,1568200.0
2007-03-28,1451.469971,1456.780029,1433.119995,1439.73999,298000,1425.219971,1456.180054,1420.890015,1447.380005,1568200.0
2007-03-29,1434.579956,1453.109985,1432.800049,1450.949951,283100,1425.219971,1456.180054,1420.890015,1447.380005,1568200.0
2007-03-30,1457.579956,1459.689941,1447.849976,1452.550049,288400,1425.219971,1456.180054,1420.890015,1447.380005,1568200.0
2007-04-02,1456.189941,1464.930054,1456.060059,1459.530029,303500,1451.119995,1459.689941,1432.800049,1452.550049,1442000.0
