Date,Open,High,Low,Close,Volume
2007-01-03,2429.719971,2454.620117,2394.659912,2423.159912,-1859687296
2007-01-04,2423.820068,2460.51001,2413.75,2453.429932,2104210000
2007-01-05,2445.070068,2445.070068,2420.590088,2434.25,2060360000
2007-01-08,2435.25,2445.629883,2421.129883,2438.199951,1905620000
2007-01-09,2443.26001,2449.870117,2423.560059,2443.830078,2144160000
2007-01-10,2434.040039,2461.340088,2427.899902,2459.330078,-2020757296
2007-01-11,2464.889893,2489.459961,2463.389893,2484.850098,-1858697296
2007-01-12,2481.719971,2502.820068,2481.540039,2502.820068,-2119157296
2007-01-16,2504.560059,2508.929932,2493.919922,2497.780029,2139550000
2007-01-17,2487.889893,2496.929932,2475.830078,2479.419922,-2021087296
2007-01-18,2475.330078,2475.800049,2438.110107,2443.209961,-1838787296
2007-01-19,2437.629883,2453.790039,2435.679932,2451.310059,2037890000
2007-01-22,2454.5,2454.659912,2422.919922,2431.070068,1900860000
2007-01-23,2428.26001,2447.030029,2425.97998,2431.409912,2001100000
2007-01-24,2443.01001,2466.280029,2440.820068,2466.280029,-2092927296
2007-01-25,2469.27002,2470.51001,2430.560059,2434.23999,-2092687296
2007-01-26,2441.100098,2443.439941,2418.610107,2435.48999,2067080000
2007-01-29,2434.639893,2451.830078,2431.310059,2441.090088,1915400000
2007-01-30,2446.659912,2451.0,2437.419922,2448.639893,1769600000
2007-01-31,2443.330078,2471.199951,2433.76001,2463.929932,-2108257296
2007-02-01,2474.080078,2481.379883,2458.709961,2468.379883,-2124927296
2007-02-02,2474.189941,2478.409912,2466.560059,2475.879883,1876770000
2007-02-05,2475.030029,2481.570068,2466.179932,2470.600098,1875310000
2007-02-06,2475.780029,2478.23999,2454.600098,2471.48999,2113710000
2007-02-07,2483.72998,2495.27002,2475.570068,2490.5,-2096557296
2007-02-08,2484.5,2492.409912,2477.709961,2488.669922,1995880000
2007-02-09,2491.649902,2496.52002,2453.439941,2459.820068,-2108377296
2007-02-12,2460.629883,2460.629883,2444.679932,2450.379883,1840250000
2007-02-13,2455.25,2464.560059,2452.169922,2459.879883,1821390000
2007-02-14,2468.040039,2494.51001,2468.040039,2488.379883,-2121387296
2007-02-15,2489.840088,2498.370117,2485.51001,2497.100098,1949670000
2007-02-16,2491.47998,2497.919922,2482.659912,2496.310059,1887430000
2007-02-20,2491.75,2514.219971,2479.919922,2513.040039,-2129377296
2007-02-21,2503.540039,2518.419922,2500.959961,2518.419922,2012450000
2007-02-22,2523.360107,2531.419922,2509.060059,2524.939941,1850960000
2007-02-23,2522.530029,2522.840088,2506.949951,2515.100098,2012220000
2007-02-26,2525.040039,2525.97998,2492.540039,2504.52002,1912480000
2007-02-27,2468.73999,2470.919922,2402.360107,2407.860107,-1257587296
2007-02-28,2411.889893,2431.860107,2395.350098,2416.149902,-1674517296
2007-03-01,2377.179932,2419.149902,2359.439941,2404.209961,-1584217296
2007-03-02,2389.860107,2401.26001,2368.0,2368.0,-1942177296
2007-03-05,2368.0,2377.840088,2340.399902,2340.679932,-2003287296
2007-03-06,2363.149902,2390.139893,2361.27002,2385.139893,2121430000
2007-03-07,2382.649902,2388.780029,2371.919922,2374.639893,1959330000
2007-03-08,2396.550049,2402.199951,2382.0,2387.72998,1989910000
2007-03-09,2403.129883,2404.800049,2375.570068,2387.550049,1875050000
2007-03-12,2385.139893,2404.02002,2384.389893,2402.290039,1637980000
2007-03-13,2388.860107,2395.97998,2350.570068,2350.570068,-2059967296
2007-03-14,2350.939941,2371.73999,2331.570068,2371.73999,-2039337296
2007-03-15,2371.02002,2382.620117,2367.73999,2378.699951,1690430000
2007-03-16,2376.820068,2385.320068,2364.360107,2372.659912,2031650000
2007-03-19,2384.659912,2399.800049,2381.550049,2394.409912,1650970000
2007-03-20,2394.820068,2412.639893,2393.189941,2408.209961,1761940000
2007-03-21,2415.540039,2455.919922,2405.389893,2455.919922,-2136227296
2007-03-22,2457.060059,2457.370117,2442.51001,2451.73999,1887290000
2007-03-23,2451.830078,2459.959961,2447.810059,2448.929932,1634470000
2007-03-26,2451.600098,2455.629883,2428.0,2455.629883,1817870000
2007-03-27,2448.919922,2450.030029,2435.189941,2437.429932,1708060000
2007-03-28,2427.189941,2434.320068,2413.090088,2417.100098,1868310000
2007-03-29,2432.5,2433.040039,2396.830078,2417.879883,1926070000
2007-03-30,2419.909912,2432.199951,2403.01001,2421.639893,1998550000
2007-04-02,2425.360107,2427.939941,2409.040039,2422.26001,1784170000
2007-04-03,2432.300049,2456.169922,2432.300049,2450.330078,1932030000
2007-04-04,2451.939941,2461.48999,2448.689941,2458.689941,1933300000
2007-04-05,2457.649902,2471.340088,2455.600098,2471.340088,1537800000
2007-04-09,2478.02002,2478.679932,2464.570068,2469.179932,1714880000
2007-04-10,2468.129883,2479.459961,2468.030029,2477.610107,1834530000
2007-04-11,2477.76001,2478.51001,2452.050049,2459.310059,1957970000
2007-04-12,2455.719971,2480.409912,2448.709961,2480.320068,1905500000
2007-04-13,2479.689941,2491.939941,2468.22998,2491.939941,1834320000
2007-04-16,2500.550049,2519.030029,2500.550049,2518.330078,1779410000
2007-04-17,2519.120117,2522.070068,2510.600098,2516.949951,1900920000
2007-04-18,2507.340088,2518.209961,2499.649902,2510.5,2046760000
2007-04-19,2497.219971,2515.949951,2490.340088,2505.350098,2112920000
2007-04-20,2525.22998,2532.23999,2515.23999,2526.389893,2084270000
2007-04-23,2525.77002,2531.399902,2518.469971,2523.669922,1928530000
2007-04-24,2528.389893,2529.47998,2509.26001,2524.540039,-2074357296
2007-04-25,2533.540039,2551.389893,2523.840088,2547.889893,-1650847296
2007-04-26,2551.48999,2560.639893,2544.120117,2554.459961,-1888877296
2007-04-27,2554.47998,2562.98999,2550.100098,2557.209961,2078160000
2007-04-30,2558.050049,2558.75,2525.090088,2525.090088,2080710000
2007-05-01,2529.949951,2532.370117,2510.570068,2531.530029,-1943217296
2007-05-02,2531.959961,2562.780029,2531.959961,2557.840088,2073150000
2007-05-03,2560.850098,2569.800049,2555.840088,2565.459961,2137140000
2007-05-04,2574.5,2577.959961,2561.72998,2572.149902,-2080837296
2007-05-07,2572.639893,2580.060059,2569.219971,2570.949951,1652300000
2007-05-08,2563.179932,2571.75,2551.149902,2571.75,1897750000
2007-05-09,2557.629883,2579.97998,2555.709961,2576.340088,2104220000
2007-05-10,2564.800049,2570.72998,2533.120117,2533.73999,-2057357296
2007-05-11,2541.659912,2562.449951,2539.669922,2562.219971,1725550000
2007-05-14,2564.050049,2568.929932,2537.919922,2546.439941,1941450000
2007-05-15,2544.669922,2557.780029,2523.830078,2525.290039,-2107207296
2007-05-16,2532.709961,2547.419922,2519.350098,2547.419922,2061050000
2007-05-17,2544.320068,2547.709961,2535.469971,2539.379883,1924890000
2007-05-18,2548.070068,2559.030029,2540.669922,2558.449951,1996930000
2007-05-21,2560.929932,2587.870117,2560.850098,2578.790039,1974220000
2007-05-22,2580.040039,2593.030029,2573.949951,2588.02002,1943950000
2007-05-23,2592.620117,2600.939941,2576.22998,2577.050049,2011060000
2007-05-24,2577.209961,2585.72998,2531.280029,2537.919922,-1944117296
2007-05-25,2547.409912,2560.030029,2544.459961,2557.189941,1559700000
2007-05-29,2561.040039,2576.360107,2558.399902,2572.060059,1651000000
2007-05-30,2556.169922,2592.590088,2551.679932,2592.590088,1969150000
2007-05-31,2599.469971,2607.899902,2594.290039,2604.52002,-2008117296
2007-06-01,2614.01001,2626.399902,2608.689941,2613.919922,1880030000
2007-06-04,2606.050049,2619.75,2604.850098,2618.290039,1947220000
2007-06-05,2611.159912,2613.310059,2595.01001,2611.22998,-2112157296
2007-06-06,2599.560059,2599.560059,2578.810059,2587.179932,-2131537296
2007-06-07,2577.370117,2585.72998,2541.379883,2541.379883,-1578727296
2007-06-08,2541.139893,2573.73999,2534.969971,2573.540039,1908130000
2007-06-11,2569.639893,2584.820068,2566.840088,2572.149902,1614980000
