Date,Open,High,Low,Close,Volume
2007-01-03,1418.030029,1429.420044,1407.859985,1416.599976,-865807296
2007-01-04,1416.599976,1421.839966,1408.430054,1418.339966,-1290507296
2007-01-05,1418.339966,1418.339966,1405.75,1409.709961,-1375567296
2007-01-08,1409.26001,1414.97998,1403.969971,1412.839966,-1531627296
2007-01-09,1412.839966,1415.609985,1405.420044,1412.109985,-1256587296
2007-01-10,1408.699951,1415.98999,1405.319946,1414.849976,-1530307296
2007-01-11,1414.839966,1427.119995,1414.839966,1423.819946,-1437097296
2007-01-12,1423.819946,1431.22998,1422.579956,1430.72998,-1608487296
2007-01-16,1430.72998,1433.930054,1428.619995,1431.900024,-1695437296
2007-01-17,1431.77002,1435.27002,1428.569946,1430.619995,-1604697296
2007-01-18,1430.589966,1432.959961,1424.209961,1426.369995,-1472537296
2007-01-19,1426.349976,1431.569946,1425.189941,1430.5,-1517487296
2007-01-22,1430.469971,1431.390015,1420.400024,1422.949951,-1754847296
2007-01-23,1422.949951,1431.329956,1421.660034,1427.98999,-1319897296
2007-01-24,1427.959961,1440.140015,1427.959961,1440.130005,-1511787296
2007-01-25,1440.119995,1440.689941,1422.339966,1423.900024,-1300637296
2007-01-26,1423.900024,1427.27002,1416.959961,1422.180054,-1668347296
2007-01-29,1422.030029,1426.939941,1418.459961,1420.619995,-1564487296
2007-01-30,1420.609985,1428.819946,1420.609985,1428.819946,-1588717296
2007-01-31,1428.650024,1441.609985,1424.780029,1438.23999,-1318277296
2007-02-01,1437.900024,1446.640015,1437.900024,1445.939941,-1380077296
2007-02-02,1445.939941,1449.329956,1444.48999,1448.390015,-1725517296
2007-02-05,1448.329956,1449.380005,1443.849976,1446.98999,-1855537296
2007-02-06,1446.97998,1450.189941,1443.400024,1448.0,-1686257296
2007-02-07,1447.410034,1452.98999,1446.439941,1450.02002,-1676147296
2007-02-08,1449.98999,1450.449951,1442.810059,1448.310059,-1478787296
2007-02-09,1448.25,1452.449951,1433.439941,1438.060059,-1343157296
2007-02-12,1438.0,1439.109985,1431.439941,1433.369995,-1899287296
2007-02-13,1433.219971,1444.410034,1433.219971,1444.26001,-1642817296
2007-02-14,1443.910034,1457.650024,1443.910034,1455.300049,-1595677296
2007-02-15,1455.150024,1457.969971,1453.189941,1456.810059,-1804047296
2007-02-16,1456.77002,1456.77002,1451.569946,1455.540039,-1895517296
2007-02-20,1455.530029,1460.530029,1449.199951,1459.680054,-1957107296
2007-02-21,1459.599976,1459.599976,1452.02002,1457.630005,-1687987296
2007-02-22,1457.290039,1461.569946,1450.51001,1456.380005,1950770000
2007-02-23,1456.219971,1456.219971,1448.359985,1451.189941,-1715017296
2007-02-26,1451.040039,1456.949951,1445.47998,1449.369995,-1472797296
2007-02-27,1449.25,1449.25,1389.420044,1399.040039,-229737296
2007-02-28,1398.640015,1415.890015,1396.650024,1406.819946,-369717296
2007-03-01,1406.800049,1409.459961,1380.869995,1403.170044,-420057296
2007-03-02,1403.160034,1403.400024,1386.869995,1387.170044,-982707296
2007-03-05,1387.109985,1391.859985,1373.969971,1374.119995,-814447296
