Date,Open,High,Low,Close,Volume,Index
05-01-2007,12459.54004,12580.34961,12365.41016,12398.00977,821480000,^DJI
12-01-2007,12392.00977,12561.04004,12337.37012,12556.08008,1193510000,^DJI
19-01-2007,12555.83984,12614.0,12523.5498,12565.53027,1053610000,^DJI
26-01-2007,12565.53027,12623.4502,12431.33984,12487.01953,1269880000,^DJI
02-02-2007,12487.09961,12683.92969,12459.45996,12653.49023,1175700000,^DJI
09-02-2007,12653.41016,12700.28027,12545.09961,12580.83008,1013320000,^DJI
16-02-2007,12580.11035,12779.03027,12536.20996,12767.57031,1017640000,^DJI
23-02-2007,12766.84961,12795.92969,12628.01953,12647.48047,841520000,^DJI
02-03-2007,12647.87988,12697.23047,12059.54004,12114.09961,1723390000,^DJI
09-03-2007,12111.61035,12330.87988,12039.11035,12276.32031,1273230000,^DJI
16-03-2007,12275.67969,12349.9502,11939.61035,12110.41016,1486630000,^DJI
23-03-2007,12110.41016,12511.0498,12110.41016,12481.00977,1090210000,^DJI
30-03-2007,12480.37012,12486.78027,12242.59961,12354.34961,1095920000,^DJI
06-04-2007,12354.51953,12572.46973,12324.28027,12560.2002,804950000,^DJI
13-04-2007,12562.63965,12615.37988,12428.21973,12612.12988,1094290000,^DJI
20-04-2007,12611.63965,12966.29004,12611.30957,12961.98047,1422090000,^DJI
27-04-2007,12961.98047,13148.0,12901.67969,13120.94043,1234390000,^DJI
04-05-2007,13120.20996,13284.53027,13041.2998,13264.62012,1247950000,^DJI
11-05-2007,13264.12988,13369.29004,13210.90039,13326.21973,1151310000,^DJI
18-05-2007,13325.80957,13558.48047,13297.04004,13556.53027,1181390000,^DJI
25-05-2007,13556.53027,13624.5498,13423.90039,13507.28027,1049380000,^DJI
01-06-2007,13507.28027,13692.0,13456.73047,13668.11035,886690000,^DJI
08-06-2007,13667.20996,13690.37988,13251.53027,13424.38965,1178580000,^DJI
15-06-2007,13424.38965,13688.66016,13287.62012,13639.48047,1323530000,^DJI
22-06-2007,13639.0,13674.36035,13359.69043,13360.25977,1304810000,^DJI
29-06-2007,13360.08984,13524.54004,13259.86035,13408.62012,1207920000,^DJI
