Date,Open,High,Low,Close,Volume,Index
2007-01-05,20004.83984,20554.58008,19757.24023,20211.2793,7028190300,^HSI
2007-01-12,19915.0,20173.06055,19350.5,19613.41016,7569530100,^HSI
2007-01-19,19776.13086,20337.92969,19746.07031,20327.7207,5776926000,^HSI
2007-01-26,20501.44922,20971.46094,20204.66992,20281.13086,5939546300,^HSI
2007-02-02,20317.39063,20704.09961,20008.59961,20563.67969,4321679600,^HSI
2007-02-09,20514.83008,20771.08984,20318.99023,20677.66016,5053454000,^HSI
2007-02-16,20534.42969,20696.65039,20127.11914,20567.91016,4009142200,^HSI
2007-02-23,20649.7207,20844.25,20540.32031,20711.65039,2419374300,^HSI
2007-03-02,20520.44922,20581.41992,19346.59961,19442.00977,6839914800,^HSI
2007-03-09,19137.35938,19259.09961,18659.23047,19134.88086,8052850400,^HSI
2007-03-16,19252.36914,19470.36914,18738.50977,18953.5,6010266300,^HSI
2007-03-23,19006.15039,19813.21094,18967.41016,19692.64063,6015005100,^HSI
2007-03-30,19719.88086,19880.25977,19459.18945,19800.92969,5752524900,^HSI
2007-04-06,19900.00977,20210.83984,19672.93945,20209.71094,3211711700,^HSI
2007-04-13,20416.53906,20502.16992,20248.03906,20340.9707,6180286700,^HSI
2007-04-20,20493.25977,20868.07031,20232.81055,20566.58984,5249033104,^HSI
2007-04-27,20710.38086,20778.43945,20396.36914,20526.5,6044873600,^HSI
2007-05-04,20525.96094,20883.21094,20130.10938,20841.08008,4731748800,^HSI
2007-05-11,20933.99023,21070.21094,20420.11914,20468.21094,6032642400,^HSI
2007-05-18,21036.61914,21088.85938,20769.09961,20904.83984,3743095004,^HSI
2007-05-25,20963.51953,21055.10938,20474.0293,20520.66016,5356535800,^HSI
2007-06-01,20594.14063,20793.38086,20184.48047,20602.86914,6383319300,^HSI
2007-06-08,20698.99023,20943.93945,20433.51953,20509.15039,7643058100,^HSI
2007-06-15,20649.05078,21052.94922,20511.0293,21017.05078,-317862692,^HSI
2007-06-22,21256.28906,22052.84961,21256.28906,21999.91016,-1177151088,^HSI
2007-06-29,21884.09961,22085.58984,21562.0,21772.73047,5007751204,^HSI
2007-07-06,22004.14063,22565.42969,21960.75977,22531.74023,3751905904,^HSI
2007-07-13,22719.99023,23239.91992,22539.69922,23099.28906,-2931326584,^HSI
2007-07-20,23098.66016,23301.92969,22782.63086,23291.90039,4540499904,^HSI
2007-07-27,23170.34961,23557.74023,22443.09961,22570.41016,5524420304,^HSI
2007-08-03,22478.76953,23199.90039,22144.73047,22538.43945,5859859304,^HSI
2007-08-10,22128.06055,22796.73047,21661.05078,21792.71094,5302175004,^HSI
2007-08-17,21932.0,22012.03906,19386.7207,20387.13086,3515720508,^HSI
2007-08-24,21140.73047,23063.92969,20901.64063,22921.89063,-4234498480,^HSI
2007-08-31,23358.38086,24089.0,22686.83984,23984.14063,-6734911480,^HSI
2007-09-07,23611.01953,24283.15039,23611.01953,23982.60938,5402249404,^HSI
2007-09-14,23584.07031,24978.60938,23578.10938,24898.10938,8925089700,^HSI
2007-09-21,24977.41992,25893.19922,24368.65039,25843.7793,-1214991788,^HSI
2007-09-28,26002.09961,27254.9707,25994.7793,27142.4707,-4837405984,^HSI
2007-10-05,27816.91992,28871.03906,26746.63086,27831.51953,-2954120784,^HSI
2007-10-12,28233.30078,29133.75977,27491.92969,28838.36914,-3801954480,^HSI
2007-10-19,29147.83984,30025.07031,28484.19922,29465.05078,-5118420584,^HSI
2007-10-26,28336.9707,30562.63086,28336.9707,30405.2207,-5825645880,^HSI
2007-11-02,30986.2207,31958.41016,30366.68945,30468.33984,-3366335480,^HSI
2007-11-09,30165.7793,30356.78906,28408.5293,28783.41016,-7590189080,^HSI
2007-11-16,28061.44922,29249.99023,26952.93945,27614.42969,-3292531184,^HSI
