Date,Open,High,Low,Close,Volume,Index
2007-01-05,5575.759766,5623.669922,5517.350098,5517.350098,461376900,^FCHI
2007-01-12,5532.569824,5619.930176,5473.470215,5617.620117,689029200,^FCHI
2007-01-19,5641.370117,5649.759766,5529.439941,5614.700195,647672900,^FCHI
2007-01-26,5630.410156,5658.080078,5539.759766,5582.299805,784159900,^FCHI
2007-02-02,5592.72998,5693.470215,5582.430176,5677.299805,578475600,^FCHI
2007-02-09,5671.22998,5711.040039,5652.47998,5692.450195,569197900,^FCHI
2007-02-16,5670.72998,5729.160156,5625.169922,5713.589844,593092900,^FCHI
2007-02-23,5723.049805,5758.330078,5677.589844,5716.379883,544740500,^FCHI
2007-03-02,5732.279785,5771.689941,5355.75,5424.700195,1030212800,^FCHI
2007-03-09,5325.140137,5549.299805,5303.290039,5537.839844,785483500,^FCHI
2007-03-16,5553.819824,5565.419922,5295.580078,5382.160156,813908700,^FCHI
2007-03-23,5435.370117,5642.189941,5411.540039,5634.75,637222800,^FCHI
2007-03-30,5638.47998,5674.259766,5530.790039,5634.160156,610616700,^FCHI
2007-04-06,5623.399902,5751.330078,5609.279785,5741.379883,436929800,^FCHI
2007-04-13,5750.470215,5798.209961,5701.350098,5789.339844,422218200,^FCHI
2007-04-20,5815.359863,5957.799805,5745.029785,5938.899902,711636100,^FCHI
2007-04-27,5937.149902,5981.549805,5860.689941,5930.77002,680259400,^FCHI
2007-05-04,5913.029785,6075.580078,5913.029785,6068.830078,480196200,^FCHI
2007-05-11,6079.859863,6081.779785,5927.509766,6050.629883,614732600,^FCHI
2007-05-18,6070.299805,6111.720215,5987.490234,6101.140137,600677900,^FCHI
2007-05-25,6091.589844,6121.870117,6011.490234,6057.490234,636136900,^FCHI
2007-06-01,6065.25,6168.149902,5986.259766,6168.149902,504609100,^FCHI
2007-06-08,6157.330078,6163.899902,5837.140137,5883.290039,768404400,^FCHI
2007-06-15,5939.339844,6122.310059,5851.47998,6105.279785,848180500,^FCHI
2007-06-22,6117.52002,6132.140137,5995.370117,6023.25,687736300,^FCHI
2007-06-29,5971.959961,6054.930176,5897.799805,6054.930176,688935700,^FCHI
2007-07-06,6021.100098,6115.089844,6011.379883,6102.689941,522838900,^FCHI
2007-07-13,6118.629883,6156.160156,5936.899902,6117.959961,685426900,^FCHI
2007-07-20,6131.740234,6132.290039,5952.220215,5957.160156,574372300,^FCHI
2007-07-27,5936.279785,6009.160156,5608.279785,5643.959961,834108700,^FCHI
2007-08-03,5649.049805,5754.0,5561.870117,5597.890137,954657600,^FCHI
2007-08-10,5532.589844,5766.560059,5434.930176,5448.629883,1030023000,^FCHI
2007-08-17,5512.930176,5576.890137,5217.700195,5363.629883,1012663000,^FCHI
2007-08-24,5428.669922,5596.160156,5345.080078,5569.379883,608279000,^FCHI
2007-08-31,5598.72998,5686.470215,5425.899902,5662.700195,621491200,^FCHI
2007-09-07,5683.100098,5683.100098,5417.259766,5430.100098,681027700,^FCHI
2007-09-14,5432.080078,5574.620117,5378.040039,5538.919922,809661600,^FCHI
2007-09-21,5523.879883,5744.740234,5417.009766,5700.649902,940488600,^FCHI
2007-09-28,5686.470215,5752.890137,5608.689941,5715.689941,739619200,^FCHI
2007-10-05,5670.790039,5854.810059,5660.759766,5843.240234,698377600,^FCHI
2007-10-12,5852.319824,5882.069824,5779.040039,5843.950195,641633600,^FCHI
2007-10-19,5842.879883,5867.950195,5728.359863,5740.47998,709162900,^FCHI
2007-10-26,5635.700195,5805.029785,5630.799805,5794.870117,735337000,^FCHI
